출처,작성자,날짜,내용,공감,답글수,원댓글ID
뉴스,@GAENODAP,2023-07-22 11:17:47,"생각해보니까 국뽕 거르고 옛날 고전문학들 ~~전 으로 나온것들
조금씩 각색하면 디즈니 느낌나게 만들만한게 되게 많은거같음.",1,,UgwN77zETfeLxjmJoWd4AaABAg
뉴스,@user-lk7ju7xf2g,2023-07-22 11:18:12,저건 안 봤지만 심청전은 전근대적인 내용이라 각색을 잘해서 만드는 게 좋다고 봄.,244,30,UgwNcWpp-Bs7r1txSdB4AaABAg
뉴스,@3dsmax2024,2023-07-22 11:18:14,ㅎㅎㅎ 님 디즈니 애니 모두 전근대적인 내용입니다. 각색은 그냥 유치원졸업해도 하는게 기본이니 걱정안하셔도 될듯 인어공주 미녀와 야수 백설공주 전부 전근대적이지... 우화나 동화가 현대적인게 있기나함?,11,,UgwNcWpp-Bs7r1txSdB4AaABAg.9gkwUb3w7DH9gl73K0fiUt
뉴스,@ruriu8003,2023-07-22 11:18:14,"아버지가 눈 뜨자고 딸을 인신매매범에게 팔아 넘기는걸 효라고 포장하는 소름 끼치는 동화
심청전은 동화 중에 최악임. 디즈니로 만들기에 적당하지 않음",71,,UgwNcWpp-Bs7r1txSdB4AaABAg.9gkwUb3w7DH9gl7Sa6TZxl
뉴스,@hansangyoo7378,2023-07-22 11:18:14, @ruriu8003  아버지는 안된다고 하는데.. 심청이가 스스로 간 거 아니었나...;;,53,,UgwNcWpp-Bs7r1txSdB4AaABAg.9gkwUb3w7DH9gl7lI9CnSy
뉴스,@3dsmax2024,2023-07-22 11:18:14, @ruriu8003  동화나 보고나서 지적질해요. 심봉사가 봉사인데 딸을 어케파냐? 한심하다 증말...,19,,UgwNcWpp-Bs7r1txSdB4AaABAg.9gkwUb3w7DH9gl8Si1mIC_
뉴스,@jun-uy6tz,2023-07-22 11:18:14, @ruriu8003  상상으로 보지도 않은 동화 내용 지어내지 말고 동화 보고 얘기합시다,19,,UgwNcWpp-Bs7r1txSdB4AaABAg.9gkwUb3w7DH9gl8bnU3p_4
뉴스,@user-vl4gb2li4x,2023-07-22 11:18:14, @ruriu8003  호러동화를 봤노..,22,,UgwNcWpp-Bs7r1txSdB4AaABAg.9gkwUb3w7DH9glAM27PEyL
뉴스,@choyc,2023-07-22 11:18:14,"정확하게는 심봉사가 옆마을 잔치집인지 마실다녀오는길에 다리건너다가 발을 헛딛여서 강에 빠진걸 스님이 구해주고
스님이 공양미300석만 받치면 눈을 뜰수있다고 해서 혹했지만 집에와서 집안사정을 생각하니 힘든걸 혼잣말하는걸 청이가 들었는지
그대로 중국상인들에게 쌀300석만 주면 자기가 바다에 인신공양을 하겠다해서 상인들도 쿨하게 거래한거 였을텐데....
뭐 결국은 뻉덕어멍이 300석을 판돈인지 심봉사가 들고 있던 재산들고 냅다 토꼇지만.....",16,,UgwNcWpp-Bs7r1txSdB4AaABAg.9gkwUb3w7DH9glCapQ33u4
뉴스,@hahahak2561,2023-07-22 11:18:14,이미 우리가 알고있는 동화들은 거의 다 근대적으로 각색 되어있음 동화 원작들 보면 심하게 잔인한 묘사들이 많음,10,,UgwNcWpp-Bs7r1txSdB4AaABAg.9gkwUb3w7DH9glEfT9gLW7
뉴스,@choyc,2023-07-22 11:18:14, @hahahak2561  장화홍련전에서는 인육젓갈을 담가먹었다죠?ㄷ,2,,UgwNcWpp-Bs7r1txSdB4AaABAg.9gkwUb3w7DH9glGK86c01m
뉴스,@rockofpeople,, @choyc  콩쥐팔쥐에여.,1,,UgwNcWpp-Bs7r1txSdB4AaABAg.9gkwUb3w7DH9glIPE0Gmu2
뉴스,@choyc,2023-07-22 11:18:14, @rockofpeople  순간 착각했네요.,0,,UgwNcWpp-Bs7r1txSdB4AaABAg.9gkwUb3w7DH9glKjOHtM-8
뉴스,@choyc,2023-07-22 11:18:14," @user-dh5ji3if5s  아버지 심봉사가 자기눈뜨자고 팔아넘기는거면 문제있겠지만
자기가 아버지 봉양하겠다고 하는 중간 스토리니 스토리이해를 잘시키면 외국인이 봐도 문제없는거 아닐까요?",4,,UgwNcWpp-Bs7r1txSdB4AaABAg.9gkwUb3w7DH9glL563pdKd
